device_id,employee_id,punch_time,verify_mode
F23,23,2026-08-01 08:54:00,Fingerprint
F23,23,2026-08-01 17:03:00,Fingerprint
F23,24,2026-08-01 08:53:00,Fingerprint
F23,24,2026-08-01 17:00:00,Fingerprint
F23,23,2026-08-01 08:52:00,Fingerprint
F23,23,2026-08-01 17:03:00,Fingerprint
F23,25,2026-08-01 08:56:00,Fingerprint
F23,25,2026-08-01 17:04:00,Fingerprint
F23,24,2026-08-01 08:58:00,Fingerprint
F23,24,2026-08-01 17:05:00,Fingerprint
F23,23,2026-08-01 08:55:00,Fingerprint
F23,23,2026-08-01 17:08:00,Fingerprint
F23,24,2026-08-01 09:55:00,Fingerprint
F23,24,2026-08-01 17:02:00,Fingerprint
F23,25,2026-08-01 08:55:00,Fingerprint
F23,25,2026-08-01 17:06:00,Fingerprint
F23,23,2026-08-02 09:47:00,Fingerprint
F23,23,2026-08-02 17:09:00,Fingerprint
F23,24,2026-08-02 08:53:00,Fingerprint
F23,24,2026-08-02 16:04:00,Fingerprint
F23,25,2026-08-02 08:53:00,Fingerprint
F23,25,2026-08-02 17:08:00,Fingerprint
F23,23,2026-08-02 08:57:00,Fingerprint
F23,23,2026-08-02 17:01:00,Fingerprint
F23,25,2026-08-02 08:55:00,Fingerprint
F23,25,2026-08-02 17:11:00,Fingerprint
F23,24,2026-08-02 08:58:00,Fingerprint
F23,24,2026-08-02 17:12:00,Fingerprint
F23,23,2026-08-02 08:59:00,Fingerprint
F23,23,2026-08-02 17:13:00,Fingerprint
F23,24,2026-08-02 08:57:00,Fingerprint
F23,24,2026-08-02 17:12:00,Fingerprint
F23,25,2026-08-02 08:54:00,Fingerprint
F23,25,2026-08-02 17:06:00,Fingerprint
F23,23,2026-08-03 08:57:00,Fingerprint
F23,23,2026-08-03 16:38:00,Fingerprint
F23,24,2026-08-03 08:55:00,Fingerprint
F23,24,2026-08-03 17:06:00,Fingerprint
F23,25,2026-08-03 09:09:00,Fingerprint
F23,25,2026-08-03 13:14:00,Fingerprint
F23,23,2026-08-03 08:56:00,Fingerprint
F23,23,2026-08-03 17:08:00,Fingerprint
F23,25,2026-08-03 08:53:00,Fingerprint
F23,25,2026-08-03 17:01:00,Fingerprint
F23,24,2026-08-03 08:50:00,Fingerprint
F23,24,2026-08-03 17:19:00,Fingerprint
F23,23,2026-08-03 09:33:00,Fingerprint
