device_id,employee_id,punch_time,verify_mode
F23,23,2026-09-01 08:52:00,Fingerprint
F23,24,2026-09-01 08:53:00,Fingerprint
F23,26,2026-09-01 08:54:00,Fingerprint
F34,34,2026-09-01 08:58:00,Fingerprint
F34,37,2026-09-01 09:00:00,Fingerprint
F23,29,2026-09-01 09:01:00,Fingerprint
F23,28,2026-09-01 09:02:00,Fingerprint
F23,33,2026-09-01 09:03:00,Fingerprint
F34,41,2026-09-01 09:04:00,Fingerprint
F23,32,2026-09-01 09:05:00,Fingerprint
F34,40,2026-09-01 09:05:00,Fingerprint
F34,35,2026-09-01 09:06:00,Fingerprint
F34,39,2026-09-01 09:06:00,Fingerprint
F34,42,2026-09-01 09:06:00,Fingerprint
F34,43,2026-09-01 09:06:00,Fingerprint
F23,31,2026-09-01 09:07:00,Fingerprint
F34,36,2026-09-01 09:07:00,Fingerprint
F23,30,2026-09-01 09:08:00,Fingerprint
F34,38,2026-09-01 09:20:00,Fingerprint
F23,27,2026-09-01 09:38:00,Fingerprint
F23,25,2026-09-01 09:39:00,Fingerprint
F23,27,2026-09-01 16:57:00,Fingerprint
F34,38,2026-09-01 16:59:00,Fingerprint
F23,31,2026-09-01 17:00:00,Fingerprint
F34,39,2026-09-01 17:01:00,Fingerprint
F34,40,2026-09-01 17:01:00,Fingerprint
F34,41,2026-09-01 17:01:00,Fingerprint
F34,43,2026-09-01 17:01:00,Fingerprint
F23,33,2026-09-01 17:02:00,Fingerprint
F23,24,2026-09-01 17:03:00,Fingerprint
F23,25,2026-09-01 17:04:00,Fingerprint
F23,29,2026-09-01 17:06:00,Fingerprint
F34,34,2026-09-01 17:06:00,Fingerprint
F34,35,2026-09-01 17:06:00,Fingerprint
F23,26,2026-09-01 17:07:00,Fingerprint
F23,30,2026-09-01 17:07:00,Fingerprint
F34,37,2026-09-01 17:10:00,Fingerprint
F23,23,2026-09-01 17:11:00,Fingerprint
F23,32,2026-09-01 17:11:00,Fingerprint
F34,36,2026-09-01 17:11:00,Fingerprint
F34,42,2026-09-01 17:11:00,Fingerprint
F23,28,2026-09-01 17:12:00,Fingerprint
F23,29,2026-09-02 08:52:00,Fingerprint
F34,39,2026-09-02 08:52:00,Fingerprint
F34,41,2026-09-02 08:52:00,Fingerprint
F23,31,2026-09-02 08:53:00,Fingerprint
F34,42,2026-09-02 08:54:00,Fingerprint
F34,40,2026-09-02 08:55:00,Fingerprint
F23,23,2026-09-02 08:59:00,Fingerprint
F23,28,2026-09-02 08:59:00,Fingerprint
F34,38,2026-09-02 08:59:00,Fingerprint
F23,30,2026-09-02 09:00:00,Fingerprint
F23,24,2026-09-02 09:02:00,Fingerprint
F23,32,2026-09-02 09:02:00,Fingerprint
F34,43,2026-09-02 09:02:00,Fingerprint
F23,27,2026-09-02 09:03:00,Fingerprint
F34,36,2026-09-02 09:04:00,Fingerprint
F23,26,2026-09-02 09:09:00,Fingerprint
F23,33,2026-09-02 09:09:00,Fingerprint
F23,25,2026-09-02 09:23:00,Fingerprint
F34,34,2026-09-02 09:30:00,Fingerprint
F34,35,2026-09-02 09:49:00,Fingerprint
F23,25,2026-09-02 16:27:00,Fingerprint
F34,41,2026-09-02 16:35:00,Fingerprint
F34,39,2026-09-02 17:00:00,Fingerprint
F23,26,2026-09-02 17:01:00,Fingerprint
F23,23,2026-09-02 17:02:00,Fingerprint
F23,33,2026-09-02 17:02:00,Fingerprint
F23,32,2026-09-02 17:03:00,Fingerprint
F23,27,2026-09-02 17:04:00,Fingerprint
F23,28,2026-09-02 17:04:00,Fingerprint
F23,29,2026-09-02 17:04:00,Fingerprint
F23,31,2026-09-02 17:05:00,Fingerprint
F23,24,2026-09-02 17:06:00,Fingerprint
F34,35,2026-09-02 17:06:00,Fingerprint
F34,36,2026-09-02 17:06:00,Fingerprint
F34,42,2026-09-02 17:06:00,Fingerprint
F23,30,2026-09-02 17:07:00,Fingerprint
F34,38,2026-09-02 17:10:00,Fingerprint
F34,40,2026-09-02 17:10:00,Fingerprint
F34,43,2026-09-02 17:11:00,Fingerprint
F34,34,2026-09-02 17:15:00,Fingerprint
F23,33,2026-09-03 08:53:00,Fingerprint
F23,25,2026-09-03 08:54:00,Fingerprint
F23,32,2026-09-03 08:54:00,Fingerprint
F23,28,2026-09-03 08:55:00,Fingerprint
F34,36,2026-09-03 08:56:00,Fingerprint
